city,neighborhood,latitude,longitude,safety_score,transport_score,greenery_score,market_score,healthcare_score,schools_score,lifestyle_score,avg_rent_1bhk,avg_rent_2bhk,avg_rent_3bhk,cost_of_living_index,population_density,known_for
Mumbai,Bandra West,19.0596,72.8295,78,88,62,92,85,80,90,45000,75000,120000,82,28000,Cafes, nightlife, celebrities, sea-link view
Mumbai,Andheri West,19.1364,72.8296,72,90,55,90,82,78,84,28000,48000,80000,75,35000,Airport proximity, IT offices, malls
Mumbai,Powai,19.1196,72.9060,82,75,78,85,88,85,85,25000,42000,70000,72,18000,Lake view, IIT Bombay, tech companies
Mumbai,Juhu,19.1075,72.8263,80,70,65,85,80,75,88,55000,90000,150000,85,15000,Beach, Bollywood, premium housing
Mumbai,Goregaon East,19.1663,72.8526,70,85,58,88,78,80,78,22000,38000,62000,68,32000,Film City, Oberoi Mall, metro
Mumbai,Malad West,19.1887,72.8491,68,84,52,87,75,76,75,20000,34000,55000,65,38000,Inorbit Mall, Link Road, metro access
Mumbai,Chembur,19.0626,72.8993,72,80,60,84,80,78,77,18000,30000,50000,64,30000,Eastern Express Highway, peaceful
Mumbai,Thane West,19.2183,72.9781,75,82,70,88,82,82,80,16000,28000,45000,62,25000,Lake city, green spaces, IT hub
Mumbai,Navi Mumbai Vashi,19.0771,73.0071,80,85,72,90,85,85,82,14000,24000,40000,60,22000,Planned city, clean, affordable
Mumbai,Kandivali East,19.2043,72.8619,70,80,55,85,75,78,74,18000,30000,48000,63,33000,Ram Mandir, suburban, affordable
Mumbai,Lower Parel,18.9940,72.8282,74,85,40,88,82,72,86,40000,65000,110000,80,22000,Corporate hub, nightlife, BKC nearby
Mumbai,Worli,19.0176,72.8180,76,80,45,85,84,74,85,55000,85000,140000,82,20000,Sea face, luxury towers, Bandra-Worli link
Delhi,Hauz Khas,28.5494,77.2001,74,82,75,90,85,85,92,30000,55000,90000,78,18000,Art galleries, nightlife, IIT Delhi
Delhi,Dwarka,28.5921,77.0460,76,88,68,88,82,84,80,15000,25000,40000,62,28000,Metro city, planned sector, affordable
Delhi,Saket,28.5245,77.2066,78,82,70,90,88,85,85,28000,48000,80000,76,20000,Select Citywalk, South Delhi premium
Delhi,Vasant Kunj,28.5223,77.1569,80,75,78,85,85,85,86,25000,42000,70000,74,15000,DLF Mall, green, posh colony
Delhi,Lajpat Nagar,28.5677,77.2433,72,85,55,92,80,78,84,22000,38000,62000,72,30000,Shopping hub, South Delhi location
Delhi,Rohini,28.7041,77.1025,70,85,62,87,78,80,76,14000,24000,40000,62,32000,Affordable, metro, family area
